# MIDI File Information
Filename,Beethoven__Moonlight_Sonata_3rd_mvt.mid
Duration (seconds),521.82
Tempo Adjustment Factor,1.00
Resolution (ticks/beat),570

# Tempo Changes
Time (seconds),Tempo (BPM)
165,18.9678,19.0590,0.0911,60,C4,39,39,0
166,19.1553,19.2657,0.1104,56,G#3,41,41,0
167,19.1658,19.2342,0.0683,61,C#4,41,41,0
168,19.3551,19.4550,0.0999,60,C4,43,43,0
169,19.3656,19.4655,0.0999,56,G#3,43,43,0
170,19.5531,19.6232,0.0701,56,G#3,44,44,0
171,19.5531,19.6635,0.1104,61,C#4,44,44,0
172,19.7458,19.8545,0.1086,60,C4,46,46,0
173,19.7564,19.8440,0.0876,56,G#3,46,46,0
174,19.8755,20.0034,0.1279,61,C#4,47,47,0
175,19.9263,20.1454,0.2190,56,G#3,48,48,0
176,20.0174,20.1366,0.1192,60,C4,59,59,0
177,20.5869,21.3457,0.7587,32,G#1,80,80,0
178,20.5940,21.4894,0.8954,44,G#2,80,80,0
179,20.5940,21.6383,1.0444,56,G#3,80,80,0
180,25.7437,25.8891,0.1454,37,C#2,42,42,0
181,25.8996,26.0800,0.1804,44,G#2,33,33,0
182,25.9714,26.1518,0.1804,49,C#3,34,34,0
183,26.0047,26.1693,0.1646,52,E3,34,34,0
184,26.0730,26.2096,0.1366,56,G#3,35,35,0
185,26.0905,26.1886,0.0981,37,C#2,35,35,0
186,26.2149,26.3375,0.1226,49,C#3,36,36,0
187,26.2552,26.3445,0.0893,44,G#2,36,36,0
188,26.3287,26.4794,0.1506,52,E3,37,37,0
189,26.3883,26.5179,0.1296,56,G#3,38,38,0
190,26.4093,26.5284,0.1191,37,C#2,38,38,0
191,26.4794,26.6580,0.1787,61,C#4,38,38,0
192,26.5705,26.7771,0.2067,52,E3,37,37,0
193,26.5880,26.6756,0.0876,44,G#2,37,37,0
194,26.6773,26.8682,0.1909,56,G#3,36,36,0
195,26.7474,26.9085,0.1611,61,C#4,36,36,0
196,26.7877,26.8980,0.1103,37,C#2,36,36,0
197,26.8595,26.9488,0.0893,64,E4,35,35,0
198,26.9838,27.0732,0.0893,44,G#2,34,34,0
199,26.9856,27.1485,0.1629,56,G#3,34,34,0
200,27.0697,27.2308,0.1611,61,C#4,33,33,0
201,27.1310,27.2413,0.1103,64,E4,34,34,0
202,27.1502,27.2606,0.1103,37,C#2,34,34,0
203,27.3131,27.4147,0.1016,44,G#2,35,35,0
204,27.3149,27.4603,0.1454,61,C#4,35,35,0
205,27.4427,27.5443,0.1016,64,E4,36,36,0
206,27.4533,27.5969,0.1436,37,C#2,36,36,0
207,27.6547,27.7423,0.0876,44,G#2,38,38,0
208,27.6634,27.8053,0.1419,64,E4,38,38,0
209,27.7475,27.9822,0.2347,37,C#2,39,39,0
210,27.9034,28.0435,0.1401,44,G#2,40,40,0
211,28.1013,28.3185,0.2172,37,C#2,57,57,0
212,28.1346,28.3308,0.1962,49,C#3,61,61,0
213,28.3641,28.4744,0.1103,44,G#2,36,36,0
214,28.5620,28.6846,0.1226,34,A#1,41,41,0
215,28.6899,28.8440,0.1541,52,E3,33,33,0
216,28.7845,28.9193,0.1349,55,G3,34,34,0
217,28.8283,28.9211,0.0928,49,C#3,34,34,0
218,28.8510,29.0630,0.2119,61,C#4,34,34,0
219,28.9404,29.0752,0.1349,64,E4,35,35,0
220,28.9404,29.0752,0.1349,46,A#2,35,35,0
221,29.0980,29.2486,0.1506,55,G3,36,36,0
222,29.1505,29.2609,0.1103,49,C#3,37,37,0
223,29.1505,29.3625,0.2119,61,C#4,37,37,0
224,29.2416,29.4028,0.1611,64,E4,38,38,0
225,29.3555,29.4448,0.0893,46,A#2,38,38,0
226,29.4886,29.6550,0.1664,61,C#4,37,37,0
227,29.5236,29.6357,0.1121,49,C#3,37,37,0
228,29.5867,29.7478,0.1611,64,E4,36,36,0
229,29.7110,29.8214,0.1103,46,A#2,38,38,0
230,29.9072,30.0403,0.1331,64,E4,39,39,0
231,29.9090,30.0211,0.1121,49,C#3,39,39,0
232,30.0894,30.2085,0.1191,46,A#2,41,41,0
233,30.3206,30.4310,0.1103,49,C#3,43,43,0
234,30.4765,30.6079,0.1314,46,A#2,44,44,0
235,30.6131,30.7550,0.1419,49,C#3,45,45,0
236,30.7480,30.9091,0.1611,46,A#2,46,46,0
237,30.8618,30.9617,0.0998,49,C#3,49,49,0
238,31.0563,31.1561,0.0998,46,A#2,72,72,0
239,31.0668,31.1579,0.0911,34,A#1,73,73,0
240,31.2665,31.3645,0.0981,49,C#3,43,43,0
241,31.4591,31.5712,0.1121,31,G1,55,55,0
242,31.5625,31.6325,0.0700,51,D#3,39,39,0
243,31.6955,31.8198,0.1243,58,A#3,38,38,0
244,31.7095,31.8514,0.1418,61,C#4,39,39,0
245,31.7183,31.8111,0.0928,51,D#3,39,39,0
246,31.8216,31.9984,0.1768,43,G2,40,40,0
247,31.8234,31.9249,0.1016,63,D#4,40,40,0
248,31.9407,32.1175,0.1768,58,A#3,41,41,0
249,32.0370,32.1473,0.1103,51,D#3,40,40,0
250,32.0387,32.2313,0.1926,61,C#4,40,40,0
251,32.1315,32.2523,0.1208,63,D#4,39,39,0
252,32.2226,32.3451,0.1226,43,G2,38,38,0
253,32.3416,32.5990,0.2574,61,C#4,37,37,0
254,32.4257,32.5167,0.0910,51,D#3,37,37,0
255,32.4257,32.5990,0.1733,63,D#4,37,37,0
256,32.5902,32.7128,0.1226,43,G2,39,39,0
257,32.7391,32.9089,0.1698,63,D#4,40,40,0
258,32.7811,32.9106,0.1296,51,D#3,40,40,0
259,32.9614,33.1032,0.1418,43,G2,42,42,0
260,33.1873,33.2958,0.1086,51,D#3,44,44,0
261,33.3956,33.4639,0.0683,43,G2,45,45,0
262,33.5602,33.6898,0.1296,51,D#3,47,47,0
263,33.7423,33.8841,0.1418,43,G2,48,48,0
264,33.8614,34.0049,0.1436,51,D#3,47,47,0
265,34.0067,34.1380,0.1313,43,G2,46,46,0
266,34.1345,34.2045,0.0700,51,D#3,45,45,0
267,34.3849,34.5897,0.2049,44,G#2,42,42,0
268,34.5004,34.6125,0.1121,51,D#3,43,43,0
269,34.5950,34.7281,0.1331,47,B2,44,44,0
270,34.7298,34.8314,0.1016,51,D#3,45,45,0
271,34.8646,35.0275,0.1628,44,G#2,46,46,0
272,34.9592,35.0607,0.1016,51,D#3,45,45,0
273,35.0730,35.1833,0.1103,47,B2,44,44,0
274,35.1868,35.2778,0.0910,51,D#3,43,43,0
275,35.2481,35.4214,0.1733,44,G#2,43,43,0
276,35.3531,35.4459,0.0928,51,D#3,42,42,0
277,35.4494,35.6035,0.1541,47,B2,41,41,0
278,35.5335,35.6385,0.1051,51,D#3,41,41,0
279,35.6560,35.8941,0.2381,44,G#2,40,40,0
280,35.7751,35.8749,0.0998,51,D#3,41,41,0
281,35.8679,36.0587,0.1908,47,B2,42,42,0
282,36.0115,36.1865,0.1751,51,D#3,43,43,0
283,36.1708,36.3861,0.2154,46,A#2,45,45,0
284,36.3791,36.4912,0.1121,51,D#3,43,43,0
285,36.4737,36.6383,0.1646,49,C#3,42,42,0
286,36.6208,36.7416,0.1208,51,D#3,41,41,0
287,36.7468,36.8676,0.1208,46,A#2,40,40,0
288,36.8519,36.9622,0.1103,51,D#3,39,39,0
289,36.9359,37.0690,0.1331,49,C#3,38,38,0
290,37.0427,37.1443,0.1016,51,D#3,39,39,0
291,37.1250,37.2528,0.1278,46,A#2,39,39,0
292,37.2371,37.3264,0.0893,51,D#3,40,40,0
293,37.3299,37.4822,0.1523,49,C#3,41,41,0
294,37.4314,37.5347,0.1033,51,D#3,40,40,0
295,37.5365,37.7711,0.2346,46,A#2,39,39,0
296,37.6503,37.7308,0.0805,51,D#3,38,38,0
297,37.7133,37.8761,0.1628,49,C#3,38,38,0
298,37.7956,37.8849,0.0893,51,D#3,38,38,0
299,37.9514,38.0617,0.1103,47,B2,40,40,0
300,38.0634,38.1544,0.0910,51,D#3,39,39,0
301,38.1579,38.2699,0.1120,47,B2,38,38,0
302,38.2647,38.3662,0.1015,51,D#3,37,37,0
303,38.3802,38.4905,0.1103,47,B2,36,36,0
304,38.4624,38.5552,0.0928,51,D#3,37,37,0
305,38.5780,38.6795,0.1015,47,B2,38,38,0
306,38.6515,38.7635,0.1120,51,D#3,38,38,0
307,38.7582,38.8597,0.1015,47,B2,37,37,0
308,38.8737,38.9770,0.1033,51,D#3,36,36,0
309,38.9788,39.0488,0.0700,47,B2,35,35,0
310,39.0733,39.1730,0.0998,51,D#3,34,34,0
311,39.1363,39.2465,0.1103,47,B2,34,34,0
312,39.2500,39.3515,0.1015,51,D#3,35,35,0
313,39.3340,39.4530,0.1190,47,B2,36,36,0
314,39.4478,39.5353,0.0875,51,D#3,37,37,0
315,39.5266,39.6893,0.1628,43,G2,37,37,0
316,39.6841,39.7838,0.0998,51,D#3,36,36,0
317,39.7628,39.9046,0.1418,43,G2,35,35,0
318,39.8958,39.9956,0.0998,51,D#3,34,34,0
319,39.9834,40.1041,0.1208,43,G2,33,33,0
320,40.0954,40.1951,0.0998,51,D#3,33,33,0
321,40.1934,40.2931,0.0998,43,G2,33,33,0
322,40.2966,40.3771,0.0805,51,D#3,34,34,0
323,40.3701,40.4822,0.1120,43,G2,35,35,0
324,40.4787,40.5802,0.1015,51,D#3,36,36,0
325,40.5487,40.6729,0.1243,43,G2,35,35,0
326,40.6782,40.7569,0.0788,51,D#3,34,34,0
327,40.7464,40.8584,0.1120,43,G2,33,33,0
328,40.8549,40.9565,0.1015,51,D#3,33,33,0
329,40.9565,41.0912,0.1348,43,G2,33,33,0
330,41.0440,41.1560,0.1120,51,D#3,34,34,0
331,41.1577,41.3520,0.1943,44,G#2,35,35,0
332,41.2942,41.4273,0.1330,51,D#3,36,36,0
333,41.3992,41.5200,0.1208,47,B2,36,36,0
334,41.5130,41.6128,0.0998,51,D#3,35,35,0
335,41.6338,41.8070,0.1733,44,G#2,34,34,0
336,41.7073,41.8508,0.1435,51,D#3,33,33,0
337,41.8333,41.9436,0.1103,47,B2,33,33,0
338,41.9383,42.0381,0.0998,51,D#3,34,34,0
339,42.0503,42.2026,0.1523,44,G#2,35,35,0
340,42.1361,42.2463,0.1103,51,D#3,36,36,0
341,42.2183,42.3198,0.1015,47,B2,36,36,0
342,42.3286,42.4651,0.1365,51,D#3,35,35,0
343,42.4371,42.6944,0.2573,44,G#2,34,34,0
344,42.5561,42.6454,0.0893,51,D#3,33,33,0
345,42.6174,42.7276,0.1103,47,B2,33,33,0
346,42.7416,42.8449,0.1033,51,D#3,33,33,0
347,42.8274,42.9989,0.1715,46,A#2,34,34,0
348,42.9727,43.0637,0.0910,51,D#3,35,35,0
349,43.0584,43.2212,0.1628,49,C#3,36,36,0
350,43.1722,43.2842,0.1120,51,D#3,35,35,0
351,43.2667,43.4190,0.1523,46,A#2,34,34,0
352,43.4015,43.5345,0.1330,51,D#3,33,33,0
353,43.4662,43.6605,0.1943,49,C#3,33,33,0
354,43.6325,43.7340,0.1015,51,D#3,33,33,0
355,43.6937,43.8250,0.1313,46,A#2,34,34,0
356,43.8285,43.9510,0.1225,51,D#3,35,35,0
357,43.9125,44.0753,0.1628,49,C#3,36,36,0
358,44.0473,44.1575,0.1103,51,D#3,35,35,0
359,44.1085,44.3307,0.2222,46,A#2,35,35,0
360,44.2520,44.3430,0.0910,51,D#3,33,33,0
361,44.2940,44.4462,0.1522,49,C#3,33,33,0
362,44.3990,44.4882,0.0892,51,D#3,33,33,0
363,44.5337,44.6631,0.1295,47,B2,34,34,0
364,44.6456,44.7559,0.1102,51,D#3,35,35,0
365,44.7541,44.8731,0.1190,47,B2,36,36,0
366,44.8678,44.9780,0.1102,51,D#3,36,36,0
367,44.9833,45.1040,0.1207,47,B2,35,35,0
368,45.0970,45.2002,0.1032,51,D#3,34,34,0
369,45.1827,45.2929,0.1102,47,B2,33,33,0
370,45.3069,45.3874,0.0805,51,D#3,33,33,0
371,45.4137,45.5239,0.1102,47,B2,34,34,0
372,45.5169,45.6061,0.0892,51,D#3,35,35,0
373,45.5904,45.7111,0.1207,47,B2,36,36,0
374,45.7041,45.8160,0.1120,51,D#3,35,35,0
375,45.7985,45.9088,0.1102,47,B2,34,34,0
376,45.9018,45.9927,0.0910,51,D#3,33,33,0
