# Instrument 1: Unnamed
Note #,Start (s),End (s),Duration (s),Pitch,Note Name,Velocity,Note-on Velocity,Note-off Velocity
47,41.4000,42.6000,1.2000,71,B4,127,127,0
48,42.6000,43.2000,0.6000,67,G4,127,127,0
49,43.2000,43.7400,0.5400,65,F4,127,127,0
50,43.7400,44.9400,1.2000,62,D4,127,127,0
51,45.4800,46.6800,1.2000,59,B3,127,127,0
52,46.6800,47.8800,1.2000,67,G4,127,127,0
53,47.8800,48.3600,0.4800,64,E4,127,127,0
54,48.3600,49.5600,1.2000,71,B4,127,127,0
55,49.5600,50.1600,0.6000,67,G4,127,127,0
56,50.1600,50.6400,0.4800,64,E4,127,127,0
57,50.6400,51.8400,1.2000,71,B4,127,127,0
58,51.8400,52.4400,0.6000,67,G4,127,127,0
59,52.4400,52.9800,0.5400,65,F4,127,127,0
60,52.9800,54.1800,1.2000,62,D4,127,127,0
61,54.1800,54.7800,0.6000,50,D3,127,127,0
62,55.0800,61.0800,6.0000,71,B4,127,127,0
63,61.0800,61.1400,0.0600,71,B4,127,127,0
64,61.1400,61.2000,0.0600,71,B4,127,127,0
65,61.2000,61.2600,0.0600,71,B4,127,127,0
66,61.2600,61.3800,0.1200,71,B4,127,127,0

# Instrument 4: Unnamed
Note #,Start (s),End (s),Duration (s),Pitch,Note Name,Velocity,Note-on Velocity,Note-off Velocity
1,0.4800,1.0800,0.6000,55,G3,127,127,0
2,1.0800,1.6800,0.6000,54,F#3,127,127,0
3,1.6800,2.2800,0.6000,52,E3,127,127,0
4,2.2800,2.8800,0.6000,50,D3,127,127,0
5,2.8800,3.3600,0.4800,48,C3,127,127,0
6,3.3600,3.9600,0.6000,59,B3,127,127,0
7,3.9600,4.5600,0.6000,57,A3,127,127,0
8,4.5600,5.1600,0.6000,55,G3,127,127,0
9,5.1600,5.6400,0.4800,48,C3,127,127,0
10,5.6400,6.2400,0.6000,59,B3,127,127,0
11,6.2400,6.8400,0.6000,57,A3,127,127,0
12,6.8400,7.4400,0.6000,55,G3,127,127,0
13,7.4400,7.9800,0.5400,53,F3,127,127,0
14,7.9800,9.1800,1.2000,50,D3,127,127,0
15,9.7200,10.3200,0.6000,55,G3,127,127,0
16,10.3200,10.9200,0.6000,54,F#3,127,127,0
17,10.9200,11.5200,0.6000,52,E3,127,127,0
18,11.5200,12.1200,0.6000,50,D3,127,127,0
19,12.1200,12.6000,0.4800,48,C3,127,127,0
20,12.6000,13.2000,0.6000,59,B3,127,127,0
21,13.2000,13.8000,0.6000,57,A3,127,127,0
