# MIDI File Information
Filename,Arbeau_Thoinot_-_Pavana.mid
Duration (seconds),90.43
Tempo Adjustment Factor,1.00
Resolution (ticks/beat),240

# Tempo Changes
Time (seconds),Tempo (BPM)
0.0000,89.00
44.4944,86.00
47.2851,89.00
87.7345,80.00

# Time Signature Changes
Time (seconds),Numerator,Denominator
0.0000,2,4

# Instrument 1: Unnamed 
Note #,Start (s),End (s),Duration (s),Pitch,Note Name,Velocity,Note-on Velocity,Note-off Velocity
35,33.0337,33.5730,0.5393,76,E5,127,127,0
36,33.7079,34.2472,0.5393,74,D5,127,127,0
37,34.3820,34.9213,0.5393,76,E5,127,127,0
38,35.0562,36.1348,1.0787,72,C5,127,127,0
39,36.4045,37.4831,1.0787,79,G5,127,127,0
40,37.7528,38.2921,0.5393,79,G5,127,127,0
41,38.4269,38.9663,0.5393,79,G5,127,127,0
42,39.1011,39.6404,0.5393,76,E5,127,127,0
43,39.7753,40.3146,0.5393,77,F5,127,127,0
44,40.4494,41.5281,1.0787,76,E5,127,127,0
45,41.7977,42.8764,1.0787,79,G5,127,127,0
46,43.1460,43.6854,0.5393,74,D5,127,127,0
47,43.8202,44.3595,0.5393,76,E5,127,127,0
48,44.4944,45.0525,0.5581,74,D5,127,127,0
49,45.1920,45.7502,0.5581,76,E5,127,127,0
50,45.8897,47.0060,1.1163,72,C5,127,127,0
51,47.2851,48.3637,1.0787,76,E5,127,127,0
52,48.6334,49.1727,0.5393,76,E5,127,127,0
53,49.3075,49.8469,0.5393,76,E5,127,127,0
54,49.9817,50.5210,0.5393,76,E5,127,127,0
55,50.6558,51.1952,0.5393,79,G5,127,127,0
56,51.3300,52.4087,1.0787,79,G5,127,127,0
57,52.6783,53.2176,0.5393,79,G5,127,127,0
58,53.3525,53.8918,0.5393,79,G5,127,127,0
59,54.0266,54.5660,0.5393,77,F5,127,127,0
60,54.7008,55.2401,0.5393,79,G5,127,127,0
61,55.3749,55.9143,0.5393,81,A5,127,127,0
62,56.0491,56.5884,0.5393,79,G5,127,127,0
63,56.7233,57.8019,1.0787,79,G5,127,127,0
64,58.0716,59.1502,1.0787,76,E5,127,127,0
65,59.4199,59.9592,0.5393,76,E5,127,127,0
66,60.0940,60.6334,0.5393,76,E5,127,127,0
67,60.7682,61.3075,0.5393,76,E5,127,127,0
68,61.4424,61.9817,0.5393,79,G5,127,127,0
69,62.1165,63.1952,1.0787,79,G5,127,127,0
70,63.4648,64.0042,0.5393,79,G5,127,127,0
71,64.1390,64.6783,0.5393,79,G5,127,127,0
72,64.8131,65.3525,0.5393,77,F5,127,127,0
73,65.4873,66.0266,0.5393,79,G5,127,127,0
74,66.1615,66.7008,0.5393,81,A5,127,127,0
75,66.8356,67.3749,0.5393,79,G5,127,127,0
76,67.5098,68.5884,1.0787,79,G5,127,127,0
77,68.8581,69.9367,1.0787,79,G5,127,127,0
78,70.2064,70.7457,0.5393,79,G5,127,127,0
79,70.8806,71.4199,0.5393,79,G5,127,127,0
80,71.5547,72.0940,0.5393,76,E5,127,127,0
81,72.2289,72.7682,0.5393,77,F5,127,127,0
82,72.9030,73.9817,1.0787,76,E5,127,127,0
83,74.2513,75.3300,1.0787,79,G5,127,127,0
84,75.5997,76.1390,0.5393,74,D5,127,127,0
85,76.2738,76.8131,0.5393,76,E5,127,127,0
