# MIDI File Information
Filename,tx437pj1389-exp-tempo95.mid
Duration (seconds),584.53
Tempo Adjustment Factor,1.30
Resolution (ticks/beat),570

# Tempo Changes
Time (seconds),Tempo (BPM)
130,50.0656,51.1194,1.0538,65,F4,88,44,0
131,51.3708,52.7539,1.3831,65,F4,78,39,0
132,52.9045,54.0843,1.1799,65,F4,74,37,0
133,54.2160,55.2546,1.0386,65,F4,74,37,0
134,55.3527,56.2999,0.9472,65,F4,76,38,0
135,56.5256,57.6422,1.1165,65,F4,76,38,0
136,57.8773,58.9572,1.0799,65,F4,78,39,0
137,59.2500,60.3500,1.1000,63,D#4,72,36,0
138,60.6106,61.4647,0.8542,64,E4,72,36,0
139,61.7938,62.9582,1.1644,63,D#4,74,37,0
140,63.2711,64.2484,0.9774,64,E4,76,38,0
141,64.6015,66.0541,1.4526,63,D#4,72,36,0
142,66.3629,67.9605,1.5976,64,E4,72,36,0
143,68.4758,69.6849,1.2091,63,D#4,66,33,0
144,70.7317,79.5826,8.8509,27,D#1,100,50,0
145,70.7397,79.5718,8.8321,39,D#2,104,52,0
146,73.1283,73.4435,0.3152,65,F4,70,35,0
147,73.7937,74.0874,0.2938,63,D#4,70,35,0
148,74.2659,74.6079,0.3421,63,D#4,66,33,0
149,75.1512,75.5469,0.3957,63,D#4,66,33,0
150,75.8635,76.1949,0.3313,63,D#4,66,33,0
151,77.4760,77.8943,0.4184,65,F4,74,37,0
152,78.6908,79.0060,0.3151,64,E4,78,39,0
153,78.9617,79.5960,0.6343,63,D#4,84,42,0
154,81.4759,88.2448,6.7688,35,B1,80,40,0
155,81.5081,88.2100,6.7018,47,B2,82,41,0
156,85.4358,85.6301,0.1944,64,E4,70,35,0
157,85.9331,86.3379,0.4048,63,D#4,70,35,0
158,86.8566,87.1943,0.3378,61,C#4,70,35,0
159,87.5280,87.9018,0.3738,64,E4,70,35,0
160,88.2234,88.5449,0.3216,63,D#4,70,35,0
161,88.4927,89.2135,0.7208,46,A#2,76,38,0
162,88.5020,89.4533,0.9513,34,A#1,76,38,0
163,89.2443,90.2438,0.9995,32,G#1,78,39,0
164,89.2832,90.2010,0.9178,44,G#2,78,39,0
165,90.1474,90.8521,0.7048,28,E1,86,43,0
166,90.1648,90.8026,0.6378,40,E2,86,43,0
167,90.8963,91.5435,0.6471,27,D#1,102,51,0
168,91.5073,91.8986,0.3912,39,D#2,92,46,0
169,91.8141,92.7477,0.9336,51,D#3,84,42,0
170,92.1222,92.7464,0.6241,56,G#3,78,39,0
171,92.4115,92.7611,0.3496,63,D#4,72,36,0
172,92.7678,93.0263,0.2585,60,C4,70,35,0
173,92.9834,93.3879,0.4045,51,D#3,76,38,0
174,93.3839,93.6919,0.3080,39,D#2,68,34,0
175,93.6665,94.2263,0.5598,27,D#1,74,37,0
176,94.1486,94.3241,0.1754,39,D#2,68,34,0
177,94.4768,95.0018,0.5250,51,D#3,66,33,0
178,94.7848,95.2696,0.4848,57,A3,66,33,0
179,95.0768,95.5937,0.5170,63,D#4,66,33,0
180,95.5254,95.8295,0.3040,61,C#4,66,33,0
181,95.7786,96.3250,0.5464,51,D#3,72,36,0
182,96.3223,96.7040,0.3817,39,D#2,66,33,0
183,96.6612,97.4083,0.7471,32,G#1,66,33,0
184,97.3534,97.7992,0.4458,39,D#2,66,33,0
185,97.7711,98.1138,0.3427,44,G#2,66,33,0
186,98.1098,98.4753,0.3655,48,C3,66,33,0
187,98.4552,98.8113,0.3561,51,D#3,66,33,0
188,98.7671,99.2410,0.4739,56,G#3,66,33,0
189,99.0309,99.1821,0.1513,60,C4,66,33,0
190,99.6735,100.3723,0.6988,32,G#1,66,33,0
191,100.3683,100.7432,0.3749,39,D#2,66,33,0
192,100.7405,101.0578,0.3173,44,G#2,66,33,0
193,101.0631,101.4206,0.3575,48,C3,66,33,0
